,Income_Category
3246,Less than $40K
3248,Less than $40K
7392,Less than $40K
7393,Less than $40K
3265,Less than $40K
7395,Less than $40K
7398,Less than $40K
7401,Less than $40K
3247,Less than $40K
7402,Less than $40K
3257,Less than $40K
7405,Less than $40K
7406,Less than $40K
7408,Less than $40K
7409,Less than $40K
7410,Less than $40K
7404,Less than $40K
3331,Less than $40K
3332,Less than $40K
3335,Less than $40K
3423,Less than $40K
3421,Less than $40K
3420,Less than $40K
7293,Less than $40K
7294,Less than $40K
3415,Less than $40K
3424,Less than $40K
3412,Less than $40K
3410,Less than $40K
7296,Less than $40K
7297,Less than $40K
7302,Less than $40K
3405,Less than $40K
7305,Less than $40K
3411,Less than $40K
3401,Less than $40K
3425,Less than $40K
7291,Less than $40K
3449,Less than $40K
7279,Less than $40K
7280,Less than $40K
3442,Less than $40K
7282,Less than $40K
3440,Less than $40K
3428,Less than $40K
7283,Less than $40K
7286,Less than $40K
3435,Less than $40K
7287,Less than $40K
3432,Less than $40K
3431,Less than $40K
7290,Less than $40K
3438,Less than $40K
3400,Less than $40K
7307,Less than $40K
7308,Less than $40K
7330,Less than $40K
3353,Less than $40K
3352,Less than $40K
7336,Less than $40K
3350,Less than $40K
7337,Less than $40K
7329,Less than $40K
3345,Less than $40K
7342,Less than $40K
3340,Less than $40K
3339,Less than $40K
7344,Less than $40K
3337,Less than $40K
7345,Less than $40K
3343,Less than $40K
3367,Less than $40K
7323,Less than $40K
3373,Less than $40K
7309,Less than $40K
7311,Less than $40K
7312,Less than $40K
7314,Less than $40K
7315,Less than $40K
3389,Less than $40K
3388,Less than $40K
3387,Less than $40K
7316,Less than $40K
7317,Less than $40K
7319,Less than $40K
3381,Less than $40K
3380,Less than $40K
7320,Less than $40K
3377,Less than $40K
7109,Less than $40K
3680,Less than $40K
3681,Less than $40K
7103,Less than $40K
3979,Less than $40K
3978,Less than $40K
6915,Less than $40K
3974,Less than $40K
3973,Less than $40K
3972,Less than $40K
6914,Less than $40K
3970,Less than $40K
3964,Less than $40K
3963,Less than $40K
3961,Less than $40K
3958,Less than $40K
6924,Less than $40K
6925,Less than $40K
6917,Less than $40K
6927,Less than $40K
6911,Less than $40K
6908,Less than $40K
6889,Less than $40K
4008,Less than $40K
6890,Less than $40K
4006,Less than $40K
4005,Less than $40K
6891,Less than $40K
6909,Less than $40K
4003,Less than $40K
6896,Less than $40K
6898,Less than $40K
6899,Less than $40K
3992,Less than $40K
6903,Less than $40K
3987,Less than $40K
3998,Less than $40K
4011,Less than $40K
3952,Less than $40K
6929,Less than $40K
3923,Less than $40K
6952,Less than $40K
3920,Less than $40K
3919,Less than $40K
6953,Less than $40K
6954,Less than $40K
6950,Less than $40K
3915,Less than $40K
3913,Less than $40K
3911,Less than $40K
3909,Less than $40K
6955,Less than $40K
3906,Less than $40K
3905,Less than $40K
3914,Less than $40K
3951,Less than $40K
3925,Less than $40K
6946,Less than $40K
6932,Less than $40K
6934,Less than $40K
6936,Less than $40K
6937,Less than $40K
3943,Less than $40K
3942,Less than $40K
6948,Less than $40K
3941,Less than $40K
3937,Less than $40K
6939,Less than $40K
6943,Less than $40K
6944,Less than $40K
3931,Less than $40K
3930,Less than $40K
3939,Less than $40K
4012,Less than $40K
4013,Less than $40K
6887,Less than $40K
6839,Less than $40K
4091,Less than $40K
6840,Less than $40K
6842,Less than $40K
4085,Less than $40K
6846,Less than $40K
6838,Less than $40K
4077,Less than $40K
4075,Less than $40K
4074,Less than $40K
4073,Less than $40K
4072,Less than $40K
4071,Less than $40K
4069,Less than $40K
4076,Less than $40K
6850,Less than $40K
6836,Less than $40K
4098,Less than $40K
6823,Less than $40K
6827,Less than $40K
6828,Less than $40K
4117,Less than $40K
6829,Less than $40K
4114,Less than $40K
4097,Less than $40K
4113,Less than $40K
6830,Less than $40K
4110,Less than $40K
6832,Less than $40K
6834,Less than $40K
4105,Less than $40K
4100,Less than $40K
4112,Less than $40K
6852,Less than $40K
4063,Less than $40K
6853,Less than $40K
4032,Less than $40K
4030,Less than $40K
6879,Less than $40K
6880,Less than $40K
4026,Less than $40K
6881,Less than $40K
4033,Less than $40K
6883,Less than $40K
6884,Less than $40K
4020,Less than $40K
4019,Less than $40K
4017,Less than $40K
4016,Less than $40K
6886,Less than $40K
4023,Less than $40K
6876,Less than $40K
4037,Less than $40K
6874,Less than $40K
4061,Less than $40K
4059,Less than $40K
4058,Less than $40K
6854,Less than $40K
6856,Less than $40K
6858,Less than $40K
4052,Less than $40K
4051,Less than $40K
4047,Less than $40K
4045,Less than $40K
6867,Less than $40K
6871,Less than $40K
4041,Less than $40K
6872,Less than $40K
6873,Less than $40K
3903,Less than $40K
7438,Less than $40K
6959,Less than $40K
6961,Less than $40K
7043,Less than $40K
3758,Less than $40K
3756,Less than $40K
7046,Less than $40K
3754,Less than $40K
3752,Less than $40K
7042,Less than $40K
7050,Less than $40K
3747,Less than $40K
3746,Less than $40K
7056,Less than $40K
3744,Less than $40K
3743,Less than $40K
7057,Less than $40K
3748,Less than $40K
7058,Less than $40K
3761,Less than $40K
3767,Less than $40K
3784,Less than $40K
3783,Less than $40K
3782,Less than $40K
3781,Less than $40K
3780,Less than $40K
7031,Less than $40K
7041,Less than $40K
3776,Less than $40K
3774,Less than $40K
3773,Less than $40K
7036,Less than $40K
7037,Less than $40K
3769,Less than $40K
3768,Less than $40K
7034,Less than $40K
7030,Less than $40K
7059,Less than $40K
7064,Less than $40K
3703,Less than $40K
3702,Less than $40K
7087,Less than $40K
7090,Less than $40K
7091,Less than $40K
3697,Less than $40K
3704,Less than $40K
7093,Less than $40K
7096,Less than $40K
3692,Less than $40K
7099,Less than $40K
7101,Less than $40K
7102,Less than $40K
3686,Less than $40K
3694,Less than $40K
3739,Less than $40K
3705,Less than $40K
3707,Less than $40K
3727,Less than $40K
3726,Less than $40K
3725,Less than $40K
7068,Less than $40K
3722,Less than $40K
7071,Less than $40K
7083,Less than $40K
3719,Less than $40K
7074,Less than $40K
7075,Less than $40K
7078,Less than $40K
7079,Less than $40K
7080,Less than $40K
3709,Less than $40K
3718,Less than $40K
3788,Less than $40K
7025,Less than $40K
3791,Less than $40K
6983,Less than $40K
3861,Less than $40K
6984,Less than $40K
3858,Less than $40K
3857,Less than $40K
3856,Less than $40K
3863,Less than $40K
6987,Less than $40K
6988,Less than $40K
6989,Less than $40K
6990,Less than $40K
3850,Less than $40K
3849,Less than $40K
3848,Less than $40K
3854,Less than $40K
3846,Less than $40K
6982,Less than $40K
6980,Less than $40K
6962,Less than $40K
6965,Less than $40K
6968,Less than $40K
6969,Less than $40K
3883,Less than $40K
3882,Less than $40K
3865,Less than $40K
3881,Less than $40K
3879,Less than $40K
3878,Less than $40K
3875,Less than $40K
6977,Less than $40K
3871,Less than $40K
6979,Less than $40K
3880,Less than $40K
3842,Less than $40K
6994,Less than $40K
6996,Less than $40K
3809,Less than $40K
7013,Less than $40K
7014,Less than $40K
7015,Less than $40K
3805,Less than $40K
7019,Less than $40K
7012,Less than $40K
3803,Less than $40K
3800,Less than $40K
7021,Less than $40K
3798,Less than $40K
3797,Less than $40K
3795,Less than $40K
3792,Less than $40K
7020,Less than $40K
3812,Less than $40K
7009,Less than $40K
7008,Less than $40K
6999,Less than $40K
3833,Less than $40K
7001,Less than $40K
3830,Less than $40K
3829,Less than $40K
3827,Less than $40K
3826,Less than $40K
3825,Less than $40K
7002,Less than $40K
3823,Less than $40K
7003,Less than $40K
7004,Less than $40K
3819,Less than $40K
3817,Less than $40K
7006,Less than $40K
6960,Less than $40K
6821,Less than $40K
7440,Less than $40K
3204,Less than $40K
7938,Less than $40K
7940,Less than $40K
2620,Less than $40K
2619,Less than $40K
7941,Less than $40K
2617,Less than $40K
2627,Less than $40K
7942,Less than $40K
2613,Less than $40K
2611,Less than $40K
2610,Less than $40K
7944,Less than $40K
2607,Less than $40K
7946,Less than $40K
7943,Less than $40K
7947,Less than $40K
2628,Less than $40K
7933,Less than $40K
2651,Less than $40K
2650,Less than $40K
2649,Less than $40K
7919,Less than $40K
7920,Less than $40K
2646,Less than $40K
7934,Less than $40K
2645,Less than $40K
2641,Less than $40K
7923,Less than $40K
7924,Less than $40K
7925,Less than $40K
2634,Less than $40K
7930,Less than $40K
2643,Less than $40K
7915,Less than $40K
7948,Less than $40K
2599,Less than $40K
7968,Less than $40K
7969,Less than $40K
7970,Less than $40K
7974,Less than $40K
2571,Less than $40K
2569,Less than $40K
2576,Less than $40K
2566,Less than $40K
7982,Less than $40K
7990,Less than $40K
7992,Less than $40K
7994,Less than $40K
7995,Less than $40K
7996,Less than $40K
7980,Less than $40K
7951,Less than $40K
7967,Less than $40K
7966,Less than $40K
7953,Less than $40K
2595,Less than $40K
2594,Less than $40K
2591,Less than $40K
7958,Less than $40K
2588,Less than $40K
2578,Less than $40K
7960,Less than $40K
7962,Less than $40K
7963,Less than $40K
7964,Less than $40K
2582,Less than $40K
2581,Less than $40K
7965,Less than $40K
7961,Less than $40K
7997,Less than $40K
2654,Less than $40K
7914,Less than $40K
2731,Less than $40K
2730,Less than $40K
2729,Less than $40K
7861,Less than $40K
7863,Less than $40K
2722,Less than $40K
2732,Less than $40K
7866,Less than $40K
2719,Less than $40K
7868,Less than $40K
2717,Less than $40K
7869,Less than $40K
7872,Less than $40K
2713,Less than $40K
7867,Less than $40K
7874,Less than $40K
7859,Less than $40K
2737,Less than $40K
7845,Less than $40K
7847,Less than $40K
2757,Less than $40K
2756,Less than $40K
7848,Less than $40K
7849,Less than $40K
7858,Less than $40K
7851,Less than $40K
2748,Less than $40K
2747,Less than $40K
2745,Less than $40K
7852,Less than $40K
7855,Less than $40K
2740,Less than $40K
2749,Less than $40K
2655,Less than $40K
2709,Less than $40K
7879,Less than $40K
7894,Less than $40K
7897,Less than $40K
2675,Less than $40K
7904,Less than $40K
2672,Less than $40K
2670,Less than $40K
7893,Less than $40K
2669,Less than $40K
2666,Less than $40K
7909,Less than $40K
7910,Less than $40K
7911,Less than $40K
7912,Less than $40K
2659,Less than $40K
7906,Less than $40K
7878,Less than $40K
2680,Less than $40K
7890,Less than $40K
7881,Less than $40K
2703,Less than $40K
7884,Less than $40K
7885,Less than $40K
2699,Less than $40K
2698,Less than $40K
7892,Less than $40K
2696,Less than $40K
2692,Less than $40K
7888,Less than $40K
2689,Less than $40K
2688,Less than $40K
2687,Less than $40K
2685,Less than $40K
7886,Less than $40K
7999,Less than $40K
8001,Less than $40K
2545,Less than $40K
2393,Less than $40K
8114,Less than $40K
2390,Less than $40K
2389,Less than $40K
8116,Less than $40K
2386,Less than $40K
2394,Less than $40K
8117,Less than $40K
8119,Less than $40K
2381,Less than $40K
8120,Less than $40K
2378,Less than $40K
8121,Less than $40K
8122,Less than $40K
8118,Less than $40K
2375,Less than $40K
8112,Less than $40K
8108,Less than $40K
8090,Less than $40K
8094,Less than $40K
8096,Less than $40K
2417,Less than $40K
8099,Less than $40K
2413,Less than $40K
2397,Less than $40K
8100,Less than $40K
8103,Less than $40K
2406,Less than $40K
2405,Less than $40K
8104,Less than $40K
8105,Less than $40K
8106,Less than $40K
2410,Less than $40K
8089,Less than $40K
8123,Less than $40K
8124,Less than $40K
8161,Less than $40K
8162,Less than $40K
2331,Less than $40K
2329,Less than $40K
8163,Less than $40K
8164,Less than $40K
8158,Less than $40K
2325,Less than $40K
8165,Less than $40K
2322,Less than $40K
8167,Less than $40K
8168,Less than $40K
8169,Less than $40K
2317,Less than $40K
2324,Less than $40K
2373,Less than $40K
8157,Less than $40K
8150,Less than $40K
2371,Less than $40K
8126,Less than $40K
8128,Less than $40K
2367,Less than $40K
2366,Less than $40K
2365,Less than $40K
2340,Less than $40K
2360,Less than $40K
8133,Less than $40K
8138,Less than $40K
2354,Less than $40K
8140,Less than $40K
2351,Less than $40K
8145,Less than $40K
2359,Less than $40K
8088,Less than $40K
8086,Less than $40K
2429,Less than $40K
2515,Less than $40K
8034,Less than $40K
8035,Less than $40K
2506,Less than $40K
8037,Less than $40K
8038,Less than $40K
2517,Less than $40K
2502,Less than $40K
8041,Less than $40K
2497,Less than $40K
8043,Less than $40K
2495,Less than $40K
8044,Less than $40K
8045,Less than $40K
2501,Less than $40K
8047,Less than $40K
2520,Less than $40K
8028,Less than $40K
2544,Less than $40K
8003,Less than $40K
8005,Less than $40K
8008,Less than $40K
8012,Less than $40K
8014,Less than $40K
8029,Less than $40K
2535,Less than $40K
8019,Less than $40K
8021,Less than $40K
2529,Less than $40K
8023,Less than $40K
8026,Less than $40K
2524,Less than $40K
8016,Less than $40K
2489,Less than $40K
8051,Less than $40K
8052,Less than $40K
2454,Less than $40K
2452,Less than $40K
2450,Less than $40K
2449,Less than $40K
8073,Less than $40K
2447,Less than $40K
2456,Less than $40K
2444,Less than $40K
8079,Less than $40K
8080,Less than $40K
2437,Less than $40K
8083,Less than $40K
8084,Less than $40K
8085,Less than $40K
8077,Less than $40K
2457,Less than $40K
8070,Less than $40K
8067,Less than $40K
8053,Less than $40K
2482,Less than $40K
2481,Less than $40K
2479,Less than $40K
2478,Less than $40K
8056,Less than $40K
2475,Less than $40K
2473,Less than $40K
8058,Less than $40K
2471,Less than $40K
8059,Less than $40K
8061,Less than $40K
2467,Less than $40K
8064,Less than $40K
8066,Less than $40K
7843,Less than $40K
7840,Less than $40K
7839,Less than $40K
7833,Less than $40K
3048,Less than $40K
7589,Less than $40K
7596,Less than $40K
3043,Less than $40K
7598,Less than $40K
7604,Less than $40K
7586,Less than $40K
3038,Less than $40K
3035,Less than $40K
7610,Less than $40K
7611,Less than $40K
7613,Less than $40K
7615,Less than $40K
3030,Less than $40K
7605,Less than $40K
7617,Less than $40K
3050,Less than $40K
3052,Less than $40K
7562,Less than $40K
7567,Less than $40K
7568,Less than $40K
7570,Less than $40K
3067,Less than $40K
3066,Less than $40K
3051,Less than $40K
7573,Less than $40K
7577,Less than $40K
7581,Less than $40K
7582,Less than $40K
3056,Less than $40K
7583,Less than $40K
7584,Less than $40K
7576,Less than $40K
3075,Less than $40K
7618,Less than $40K
7621,Less than $40K
2999,Less than $40K
2998,Less than $40K
7645,Less than $40K
7646,Less than $40K
2994,Less than $40K
2992,Less than $40K
3001,Less than $40K
7649,Less than $40K
7650,Less than $40K
7651,Less than $40K
7652,Less than $40K
7654,Less than $40K
7655,Less than $40K
7657,Less than $40K
2990,Less than $40K
7620,Less than $40K
3002,Less than $40K
7641,Less than $40K
7622,Less than $40K
3023,Less than $40K
7623,Less than $40K
3021,Less than $40K
7625,Less than $40K
7626,Less than $40K
7642,Less than $40K
7628,Less than $40K
3014,Less than $40K
3013,Less than $40K
7632,Less than $40K
7637,Less than $40K
7638,Less than $40K
3005,Less than $40K
3016,Less than $40K
3077,Less than $40K
3078,Less than $40K
3079,Less than $40K
7476,Less than $40K
3169,Less than $40K
7480,Less than $40K
7481,Less than $40K
7484,Less than $40K
7485,Less than $40K
3173,Less than $40K
7489,Less than $40K
7490,Less than $40K
3154,Less than $40K
7494,Less than $40K
3152,Less than $40K
7499,Less than $40K
7500,Less than $40K
3159,Less than $40K
3145,Less than $40K
3174,Less than $40K
3180,Less than $40K
7453,Less than $40K
7454,Less than $40K
7457,Less than $40K
3196,Less than $40K
7461,Less than $40K
7463,Less than $40K
7475,Less than $40K
3189,Less than $40K
7468,Less than $40K
7469,Less than $40K
3184,Less than $40K
7470,Less than $40K
3182,Less than $40K
3181,Less than $40K
7467,Less than $40K
7504,Less than $40K
3143,Less than $40K
7506,Less than $40K
7540,Less than $40K
7541,Less than $40K
7543,Less than $40K
7546,Less than $40K
7548,Less than $40K
3095,Less than $40K
7539,Less than $40K
7551,Less than $40K
3091,Less than $40K
3090,Less than $40K
3084,Less than $40K
3082,Less than $40K
3081,Less than $40K
7560,Less than $40K
3092,Less than $40K
3107,Less than $40K
3108,Less than $40K
7534,Less than $40K
7512,Less than $40K
7515,Less than $40K
7517,Less than $40K
7519,Less than $40K
7520,Less than $40K
7522,Less than $40K
3122,Less than $40K
3121,Less than $40K
3119,Less than $40K
7525,Less than $40K
3117,Less than $40K
7526,Less than $40K
7529,Less than $40K
7531,Less than $40K
3110,Less than $40K
7659,Less than $40K
7443,Less than $40K
2978,Less than $40K
7660,Less than $40K
2841,Less than $40K
2840,Less than $40K
7781,Less than $40K
7783,Less than $40K
2836,Less than $40K
2835,Less than $40K
7780,Less than $40K
7784,Less than $40K
7786,Less than $40K
2831,Less than $40K
2830,Less than $40K
2829,Less than $40K
7787,Less than $40K
2827,Less than $40K
7785,Less than $40K
2825,Less than $40K
2844,Less than $40K
2848,Less than $40K
7760,Less than $40K
2867,Less than $40K
7761,Less than $40K
7762,Less than $40K
7766,Less than $40K
7771,Less than $40K
7776,Less than $40K
7772,Less than $40K
2856,Less than $40K
2855,Less than $40K
2854,Less than $40K
7773,Less than $40K
2852,Less than $40K
2850,Less than $40K
2857,Less than $40K
2872,Less than $40K
7788,Less than $40K
2822,Less than $40K
7814,Less than $40K
2795,Less than $40K
2788,Less than $40K
7822,Less than $40K
2782,Less than $40K
2781,Less than $40K
7813,Less than $40K
7826,Less than $40K
7827,Less than $40K
2777,Less than $40K
7829,Less than $40K
2774,Less than $40K
2773,Less than $40K
2767,Less than $40K
2779,Less than $40K
2823,Less than $40K
2798,Less than $40K
7811,Less than $40K
2819,Less than $40K
7789,Less than $40K
7792,Less than $40K
7793,Less than $40K
7794,Less than $40K
7796,Less than $40K
7812,Less than $40K
7797,Less than $40K
7803,Less than $40K
2808,Less than $40K
2807,Less than $40K
7804,Less than $40K
7810,Less than $40K
2802,Less than $40K
7800,Less than $40K
7758,Less than $40K
2874,Less than $40K
7757,Less than $40K
7679,Less than $40K
7681,Less than $40K
7682,Less than $40K
7688,Less than $40K
2947,Less than $40K
2945,Less than $40K
2953,Less than $40K
7692,Less than $40K
2939,Less than $40K
2938,Less than $40K
2936,Less than $40K
7696,Less than $40K
7699,Less than $40K
2931,Less than $40K
7694,Less than $40K
2930,Less than $40K
7678,Less than $40K
2956,Less than $40K
7663,Less than $40K
7664,Less than $40K
7665,Less than $40K
2970,Less than $40K
7668,Less than $40K
7669,Less than $40K
7676,Less than $40K
7670,Less than $40K
7671,Less than $40K
7672,Less than $40K
2962,Less than $40K
2961,Less than $40K
7673,Less than $40K
7674,Less than $40K
2965,Less than $40K
7701,Less than $40K
7702,Less than $40K
2925,Less than $40K
7738,Less than $40K
2893,Less than $40K
7743,Less than $40K
2891,Less than $40K
7746,Less than $40K
7747,Less than $40K
2896,Less than $40K
7748,Less than $40K
2884,Less than $40K
2883,Less than $40K
2882,Less than $40K
7751,Less than $40K
7755,Less than $40K
7756,Less than $40K
7749,Less than $40K
7737,Less than $40K
2903,Less than $40K
7731,Less than $40K
7703,Less than $40K
7706,Less than $40K
5844,Less than $40K
7709,Less than $40K
2919,Less than $40K
7710,Less than $40K
7712,Less than $40K
7713,Less than $40K
7715,Less than $40K
7718,Less than $40K
2913,Less than $40K
7719,Less than $40K
2910,Less than $40K
2909,Less than $40K
2908,Less than $40K
2977,Less than $40K
8171,Less than $40K
6820,Less than $40K
6815,Less than $40K
6149,Less than $40K
5272,Less than $40K
5271,Less than $40K
5270,Less than $40K
5269,Less than $40K
5268,Less than $40K
5274,Less than $40K
5267,Less than $40K
6151,Less than $40K
6153,Less than $40K
5262,Less than $40K
6154,Less than $40K
5260,Less than $40K
5258,Less than $40K
5266,Less than $40K
5257,Less than $40K
5275,Less than $40K
5277,Less than $40K
5298,Less than $40K
5297,Less than $40K
5296,Less than $40K
5295,Less than $40K
6137,Less than $40K
5293,Less than $40K
6148,Less than $40K
5291,Less than $40K
5288,Less than $40K
5287,Less than $40K
5285,Less than $40K
5284,Less than $40K
5283,Less than $40K
6146,Less than $40K
5290,Less than $40K
5300,Less than $40K
6155,Less than $40K
5253,Less than $40K
5231,Less than $40K
5229,Less than $40K
6170,Less than $40K
6171,Less than $40K
6173,Less than $40K
6174,Less than $40K
6162,Less than $40K
6175,Less than $40K
5219,Less than $40K
6179,Less than $40K
5217,Less than $40K
5212,Less than $40K
5211,Less than $40K
6181,Less than $40K
6177,Less than $40K
6156,Less than $40K
5234,Less than $40K
5236,Less than $40K
6157,Less than $40K
5251,Less than $40K
5250,Less than $40K
6158,Less than $40K
5248,Less than $40K
6160,Less than $40K
5235,Less than $40K
5245,Less than $40K
5243,Less than $40K
5242,Less than $40K
5240,Less than $40K
5239,Less than $40K
5238,Less than $40K
5237,Less than $40K
5244,Less than $40K
5209,Less than $40K
6136,Less than $40K
6133,Less than $40K
5380,Less than $40K
5379,Less than $40K
5378,Less than $40K
6099,Less than $40K
6102,Less than $40K
5372,Less than $40K
5381,Less than $40K
5370,Less than $40K
5368,Less than $40K
5366,Less than $40K
6105,Less than $40K
6107,Less than $40K
5359,Less than $40K
5358,Less than $40K
5369,Less than $40K
5357,Less than $40K
5382,Less than $40K
6097,Less than $40K
6083,Less than $40K
6084,Less than $40K
5405,Less than $40K
5404,Less than $40K
5402,Less than $40K
5401,Less than $40K
5384,Less than $40K
5400,Less than $40K
6094,Less than $40K
5391,Less than $40K
5390,Less than $40K
6095,Less than $40K
5387,Less than $40K
5386,Less than $40K
6093,Less than $40K
6135,Less than $40K
6109,Less than $40K
5353,Less than $40K
5323,Less than $40K
6128,Less than $40K
5320,Less than $40K
5318,Less than $40K
5317,Less than $40K
5316,Less than $40K
5325,Less than $40K
5315,Less than $40K
5311,Less than $40K
5310,Less than $40K
6130,Less than $40K
5308,Less than $40K
6131,Less than $40K
5306,Less than $40K
6129,Less than $40K
5354,Less than $40K
6122,Less than $40K
6120,Less than $40K
5352,Less than $40K
5349,Less than $40K
6111,Less than $40K
6112,Less than $40K
5345,Less than $40K
5344,Less than $40K
5330,Less than $40K
5342,Less than $40K
5340,Less than $40K
6114,Less than $40K
5337,Less than $40K
6118,Less than $40K
6119,Less than $40K
5332,Less than $40K
5341,Less than $40K
5208,Less than $40K
5207,Less than $40K
5206,Less than $40K
6244,Less than $40K
5073,Less than $40K
5071,Less than $40K
5070,Less than $40K
6246,Less than $40K
6247,Less than $40K
6243,Less than $40K
5066,Less than $40K
5064,Less than $40K
5062,Less than $40K
5061,Less than $40K
6249,Less than $40K
5057,Less than $40K
5056,Less than $40K
5065,Less than $40K
6250,Less than $40K
5077,Less than $40K
6242,Less than $40K
5101,Less than $40K
5100,Less than $40K
6229,Less than $40K
5098,Less than $40K
5097,Less than $40K
6231,Less than $40K
5078,Less than $40K
6234,Less than $40K
5091,Less than $40K
6237,Less than $40K
5089,Less than $40K
5088,Less than $40K
6239,Less than $40K
5085,Less than $40K
6236,Less than $40K
5102,Less than $40K
5054,Less than $40K
5052,Less than $40K
6263,Less than $40K
6264,Less than $40K
6265,Less than $40K
6268,Less than $40K
6269,Less than $40K
5015,Less than $40K
6259,Less than $40K
5014,Less than $40K
5006,Less than $40K
5004,Less than $40K
6274,Less than $40K
5000,Less than $40K
4999,Less than $40K
4998,Less than $40K
5010,Less than $40K
5053,Less than $40K
5025,Less than $40K
5029,Less than $40K
6251,Less than $40K
5050,Less than $40K
5049,Less than $40K
5047,Less than $40K
6252,Less than $40K
5045,Less than $40K
5028,Less than $40K
5043,Less than $40K
6253,Less than $40K
5034,Less than $40K
5033,Less than $40K
5032,Less than $40K
5031,Less than $40K
6256,Less than $40K
5042,Less than $40K
5105,Less than $40K
5109,Less than $40K
6228,Less than $40K
6195,Less than $40K
6197,Less than $40K
6199,Less than $40K
5177,Less than $40K
6201,Less than $40K
6202,Less than $40K
5181,Less than $40K
5174,Less than $40K
6205,Less than $40K
5171,Less than $40K
5170,Less than $40K
6206,Less than $40K
5168,Less than $40K
5167,Less than $40K
6204,Less than $40K
6207,Less than $40K
5182,Less than $40K
5185,Less than $40K
5205,Less than $40K
6183,Less than $40K
6185,Less than $40K
6186,Less than $40K
6187,Less than $40K
